"","anterior_reticular_formation_LEFT","anterior_reticular_formation_RIGHT","caudal_hypothalamus_LEFT","caudal_hypothalamus_RIGHT","cerebellum_LEFT","cerebellum_RIGHT","glossopharyngeal_ganglion_LEFT","glossopharyngeal_ganglion_RIGHT","habenula_LEFT","habenula_RIGHT","inferior_olive_LEFT","inferior_olive_RIGHT","intermediate_hypothalamus_LEFT","intermediate_hypothalamus_RIGHT","intermediate_reticular_formation_LEFT","intermediate_reticular_formation_RIGHT","interpeduncular_nucleus_LEFT","interpeduncular_nucleus_RIGHT","medial_octavolateral_nucleus_LEFT","medial_octavolateral_nucleus_RIGHT","MO_stripe_1_LEFT","MO_stripe_1_RIGHT","MO_stripe_2_LEFT","MO_stripe_2_RIGHT","MO_stripe_3_LEFT","MO_stripe_3_RIGHT","MO_stripe_4_LEFT","MO_stripe_4_RIGHT","MO_stripe_5_LEFT","MO_stripe_5_RIGHT","octaval_ganglion_LEFT","octaval_ganglion_RIGHT","olfactory_bulb_LEFT","olfactory_bulb_RIGHT","olfactory_epithelium_LEFT","olfactory_epithelium_RIGHT","pallium_LEFT","pallium_RIGHT","pituitary_LEFT","pituitary_RIGHT","posterior_reticular_formation_LEFT","posterior_reticular_formation_RIGHT","posterior_teberculum_LEFT","posterior_teberculum_RIGHT","preoptic_region_LEFT","preoptic_region_RIGHT","pretectum_LEFT","pretectum_RIGHT","raphe_nucleus_LEFT","raphe_nucleus_RIGHT","retina_LEFT","retina_RIGHT","rostral_hypothalamus_LEFT","rostral_hypothalamus_RIGHT","subpallium_LEFT","subpallium_RIGHT","tectum_LEFT","tectum_RIGHT","tegmentum_LEFT","tegmentum_RIGHT","thalamus_LEFT","thalamus_RIGHT","torus_longitudinalis_LEFT","torus_longitudinalis_RIGHT","torus_semicircularis_LEFT","torus_semicircularis_RIGHT","trigeminal_ganglion_LEFT","trigeminal_ganglion_RIGHT","vagal_region_LEFT","vagal_region_RIGHT","vagus_motor_neurons_LEFT","vagus_motor_neurons_RIGHT"
"MO_stripe_3_LEFT",0.0673080063068285,0.0543668050017966,0,0,0.0397780824988387,0.00824013101753843,0,0,0,0,0.000579080003842264,0,0.00384442725190523,0.00268758149664851,0.0438596395475765,0.0524853270841154,0.0033658443648183,0.00323333111700603,0.0484975455624042,0.0317588239048571,0.0147519070661207,0.00394232380164435,0.000950644252681044,0.000209824443489416,0,0.0337544369749817,0.0142214813811034,0.0046215194714621,0.0418350014965052,0.0238651987170238,0.000197156438423174,0.000701480144710198,0,0,0,0,0,0,0,0,0.0477981230802164,0.0441803141936612,0.00192855274001007,0.00133087105081893,0.000708078005483004,0.00114261865979465,0.0126420186686781,0.00245561684607118,0.0188882819290222,0.0179762986300101,0,0,0.00388154043141447,0.00480352054544078,0,0,0.00275186105843241,0.000844140228680119,0.0285274129422655,0.0188912541702227,0.0177111695460455,0.00990613240334604,0.000934387905376876,0.00122200981376655,0.0265540863709802,0.0219934725139536,0,0,0.000399746355133496,0.0006254976174138,0,0
"MO_stripe_3_RIGHT",0.0568155957386374,0.0811627016482156,0,0,0.0117653215327269,0.0424111386838515,0,0,0,0,0.000147034310694333,0.000152611157463285,0.00249734011409671,0.00540647537594848,0.0590666973028064,0.0597108033850125,0.00327017059670269,0.00298941105750705,0.0408550901995166,0.0427117167066276,0.00519981494033158,0.0142292572384679,0.00145111485985296,0.00055893629247247,0.0337544369749817,0,0.0108268994057009,0.00930780232003814,0.0283021968536222,0.0377553736238148,0.000687613815367661,0.000191017563332463,0,0,0,0,0,0.000151871704362226,0,0,0.0478197079958982,0.0558843185919913,0.001297640543808,0.00295990267063096,0.00143281511431113,0.00103423513089162,0.00196012681224316,0.0141347375092637,0.0181006676697386,0.0199501771888115,0,0,0.00397948895910577,0.00765504385141813,0,0.000222507575883661,0.000832502685972243,0.00235940174293401,0.0204642380563393,0.035980110874298,0.0134650804421985,0.02357554091886,0.00118905019685039,0.000778197371512935,0.0256669977153955,0.0383502547161073,0,0.000211469607196225,0.00132959662082553,0.00124273620652899,0,0
"MO_stripe_4_LEFT",0.0242129767561644,0.0199175318902416,0,0,0.0101826138745322,0.00548807644283573,0.00125301227187494,0,0,0,0.000479247261022355,0,0.0042044945964064,7.44980144651504e-05,0.034450681131374,0.0304483138494166,0.000433506496422597,0.000424706774122726,0.0202789053253542,0.00862085457406569,0.0077726853316245,0.00669536716314513,0.00445550155820727,0.00071600503720891,0.0142214813811034,0.0108268994057009,0,0.00843832241503567,0.0358572960531955,0.00805936374990816,6.92972258314527e-05,0.000481918765512163,0,0,0,0,0,0,0,0,0.0396443461020068,0.0205866380669989,0,0.00204669898465925,0,0,0.00241540039643419,0.00328036336383327,0.00424940392717181,0.00349064779321824,0,0,0,0,0,0,0.000330184612698714,0.00036836451229978,0.00434378701758927,0.00767673527650393,0.0018933292308026,0.00444679372942278,0,0,0.00368287660866058,0.0103752632508455,0.00151766501694551,0,0.00556609574607737,0.00119529511147629,0.0250631297827968,0.00223978144012894
"MO_stripe_4_RIGHT",0.0132845985772192,0.0207342257162921,0,0,0.00518104258404878,0.00793278138977713,0,0.00177630324287124,0,0,0.000126676855153676,0,0,0.00404879252466906,0.0189227048498316,0.0287044756348033,0.000515458322856538,0.000494814022290939,0.00598646676828904,0.00911866563779383,0.00485484996146613,0.00667002117862361,0.00152589257850109,0.00258649545990534,0.0046215194714621,0.00930780232003814,0.00843832241503567,0,0.00490582350338127,0.0225403460251112,0.000366665701876404,0,0,0,0,0,0,0,0,0,0.0134104042589309,0.0281322771717598,0.0018020097112973,0,5.98803224644707e-05,0,0.00289720411356117,0.00221910112359551,0.00209803837939101,0.00268626067286082,0,0,0,0,0,0,0.000333008682906535,0.000373968891828391,0.00427985054898574,0.00413836496609718,0.00451516346531665,0.00186096730967599,0,0,0.0075433297327822,0.00320439964748248,0,0.00228879529782015,0.000661531499626176,0.00893536668503283,0.00234644632594623,0.024815056757676
"MO_stripe_5_LEFT",0.0177421249867481,0.0303216406735018,0,0,0.0078010917475694,0.00353567655901552,0.0017632389461563,0,0,0,0,0.000223016244990998,0.00246656994823835,4.65030870315489e-05,0.0333058568968309,0.0443499670212461,0,0,0.0518360378236716,0.0227294485429353,0.00437946227056856,0.0045351868960649,0.00195113176783238,6.88330228054517e-05,0.0418350014965052,0.0283021968536222,0.0358572960531955,0.00490582350338127,0,0.0247938914633475,0.000260805100878258,0.000230024872200445,0,0,0,0,0.000249709357717199,0.000321000647668394,0,0,0.0436991345159259,0.0423682638220385,0,0.000890751375604395,0,0.000212695779898368,0.000580454054840705,0.000705856128079891,0.00228934633461787,0.00207466920677467,0,0,0,0,0.000291326303430622,0.000555779698327423,0.000309581928369939,0.000319572540072402,0.0021069151032159,0.0112399082875354,0.000882826323377253,0.00298654514889899,0,0,0.00225594876564763,0.0115076441089211,0,0,0.00755404814004376,0.000238815702652559,0.00758220661569259,0.00336420656605083
"MO_stripe_5_RIGHT",0.0264669351226917,0.0136241046648385,0,0,0.00533458605465757,0.00544753333724392,0,0.00323148446553344,0,0,0.000290321227292433,0,0,0.00344426062455861,0.0369124141292282,0.0289482830108689,0,0,0.0254266711183478,0.0431208505341892,0.00448332525704197,0.00390892183270214,0.000458668003199247,0.000707047658187622,0.0238651987170238,0.0377553736238148,0.00805936374990816,0.0225403460251112,0.0247938914633475,0,0.000356524859687076,0.000242229221661688,0,0,0,0,0.000362922221196061,0.000216233160566029,0,0,0.0402093270354274,0.0426259379052772,0.00068575875805672,0,0.000170317277451281,0,0.000528984547686227,0.000441466589990575,0.00129898076657838,0.00154541828487457,0,0,0,0,0.000613388846853518,0.00026279072848627,7.93195301088519e-05,0.000328545471118759,0.00950469186473705,0.00203701035367726,0.00283686643289767,0.000741193816517187,0,0,0.00862240991046482,0.00187788601413906,0,0.000172201069705558,0.000243731081622335,0.00890159521388689,0.00375977702174305,0.00714983659817395
"octaval_ganglion_LEFT",0.00687906872606258,0.000374881515000285,0.00319427041582679,0,0,0,0,0,0,0,0.00361317461104305,0,0.00108690410373792,0,0.0061974604907826,0.000690831257783313,0.00302346343651862,0,0,0,0,0,0,0,0.000197156438423174,0.000687613815367661,6.92972258314527e-05,0.000366665701876404,0.000260805100878258,0.000356524859687076,0,0,0,0,0,0,0,0,0,0,0.0068664440154887,0.00126065047169093,0.00102860547588902,0,0,0,0.00198876353503907,0,0,0,0,0,0,0,0,0,0.000678944586615008,0,0.00153493988776399,0,0.00196249936041454,0,0,0,0.00413351260619348,0,0,0,0.000460384298377918,0,0,0.000367810945107383
"octaval_ganglion_RIGHT",0.000390742684986534,0.00611845696457576,0,0.00337754678080635,0,0,0,0,0,0,0.000308015816461975,0.00426039098211825,0,0.000998696970248867,0.00067163444682958,0.00646524845149465,0,0.00268011591321597,0,0,6.32986880218095e-05,0,0.000205299773902037,0,0.000701480144710198,0.000191017563332463,0.000481918765512163,0,0.000230024872200445,0.000242229221661688,0,0,0,0,0,0,0,0,0,0,0.00201600964683848,0.00746352316432515,0,0.000963471646285095,0,0,0,0.00184982765906178,0.000720651942333641,0.000247574498181092,0,0,0,0,0,0,0,0.00084590414359366,0,0.000631107491856678,0,0.0008541915720263,0,0,0,0.00507742123175071,0,0,0,0.000571574578044324,0.000323963389222945,0
"olfactory_bulb_LEFT",0,0,0,0,0,0,0,0,0.0015676808687974,0.00131664465581457,0,0,0.00108067851742756,0.00168227743984393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106893690811651,0,0.0366093765901743,0.012800548496045,0,0,0,0,0.00357865499275135,0.00349114416686432,0.00215718532831147,0.00255711378286212,0,0,0,0,0,0,0,0,0.0395672552466799,0.0106756252460173,0,0,0,0,0.000242241836945862,7.6966224262612e-05,0,0,0,0,0,0,0,0,0,0
"olfactory_bulb_RIGHT",0,0,0,0,0,0,0,0,0.00138342830732273,0.00148235920186206,0,0,0.00191507621376155,0.00107661161582446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00998413489868999,0.013061416913223,0.0337597431154544,0,0,0,0,0.00222268303689039,0.00478976260694367,0.00234405933626699,0.00275381784267091,0,0,0,0,0,0,0,0,0.00900305033215472,0.0448453319056717,0,0,0,0,6.55427335016228e-05,0.000252686731050224,0,0,0,0,0,0,0,0,0,0
